OTU;Domain;Phylum;Class;Order;Family;Genus;Species;unique;;;;Phylum;Class;Order;Family;Genus;Species;;Family;;;Genus;;;Species;
Otu0854;Bacteria;Bacillota_A;Clostridia;Christensenellales;CAG-138;SFEL01;SFEL01 sp004557245;Otu0854;;;;;;;;;;;;;;;;;;
Otu0855;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu0855;;;;;;;;;;;;;;;;;;
Otu0857;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium;Otu0857;;;;;;;;;;;;;;;;;;
Otu0858;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerobutyricum;Anaerobutyricum hallii;Otu0858;;;;;;;;;;;;;;;;;;
Otu0859;Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Anaerotardibacter;Anaerotardibacter sp900540345;Otu0859;;;;;;;;;;;;;;;;;;
Otu0861;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola;Otu0861;;;;;;;;;;;;;;;;;;
Otu0862;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira eligens_A;Otu0862;;;;;;;;;;;;;;;;;;
Otu0863;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cutis;Otu0863;;;;;;;;;;;;;;;;;;
Otu0864;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0864;;;;;;;;;;;;;;;;;;
Otu0867;Bacteria;Bacillota_A;Clostridia;Christensenellales;Aristaeellaceae;UBA11524;UBA11524 sp000437595;Otu0867;;;;;;;;;;;;;;;;;;
Otu0869;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A;Otu0869;;;;;;;;;;;;;;;;;;
Otu0870;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0870;;;;;;;;;;;;;;;;;;
Otu0871;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Fumia;Fumia xinanensis;Otu0871;;;;;;;;;;;;;;;;;;
Otu0873;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus;Otu0873;;;;;;;;;;;;;;;;;;
Otu0874;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia inulinivorans;Otu0874;;;;;;;;;;;;;;;;;;
Otu0875;Bacteria;Bacillota_A;Clostridia;Clostridia;Clostridia;Clostridia;Clostridia;Otu0875;;;;;;;;;;;;;;;;;;
Otu0876;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter;Otu0876;;;;;;;;;;;;;;;;;;
Otu0877;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu0877;;;;;;;;;;;;;;;;;;
Otu0878;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;Dorea formicigenerans;Otu0878;;;;;;;;;;;;;;;;;;
Otu0879;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Bianqueaceae;Bianquea;Bianquea renquensis;Otu0879;;;;;;;;;;;;;;;;;;
Otu0881;Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium;Otu0881;;;;;;;;;;;;;;;;;;
Otu0882;Bacteria;Bacillota_A;Clostridia;Oscillospirales;CAG-272;CAG-272;CAG-272;Otu0882;;;;;;;;;;;;;;;;;;
Otu0883;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0883;;;;;;;;;;;;;;;;;;
Otu0886;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii;Otu0886;;;;;;;;;;;;;;;;;;
Otu0887;Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter;Tractidigestivibacter sp000752675;Otu0887;;;;;;;;;;;;;;;;;;
Otu0888;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu0888;;;;;;;;;;;;;;;;;;
Otu0889;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola;Otu0889;;;;;;;;;;;;;;;;;;
Otu0890;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-194;CAG-194 sp018917935;Otu0890;;;;;;;;;;;;;;;;;;
Otu0891;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Alitiscatomonas;Alitiscatomonas sp900066055;Otu0891;;;;;;;;;;;;;;;;;;
Otu0892;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter;Otu0892;;;;;;;;;;;;;;;;;;
Otu0893;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0893;;;;;;;;;;;;;;;;;;
Otu0895;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Limisoma;Limisoma sp000437795;Otu0895;;;;;;;;;;;;;;;;;;
Otu0896;Bacteria;Bacillota_I;Bacilli_A;RF39;UBA660;CAG-628;CAG-628 sp003524085;Otu0896;;;;;;;;;;;;;;;;;;
Otu0898;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospirales;Oscillospirales;Oscillospirales;Otu0898;;;;;;;;;;;;;;;;;;
Otu0899;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospiraceae;Oscillospiraceae;Otu0899;;;;;;;;;;;;;;;;;;
Otu0900;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella ruminicola;Otu0900;;;;;;;;;;;;;;;;;;
Otu0901;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrionaceae;Desulfovibrionaceae;Otu0901;;;;;;;;;;;;;;;;;;
Otu0902;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0902;;;;;;;;;;;;;;;;;;
Otu0903;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus;Limivicinus sp002320035;Otu0903;;;;;;;;;;;;;;;;;;
Otu0907;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000434975;Otu0907;;;;;;;;;;;;;;;;;;
Otu0912;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter;Otu0912;;;;;;;;;;;;;;;;;;
Otu0914;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Gallintestinimicrobium;Gallintestinimicrobium propionicum;Otu0914;;;;;;;;;;;;;;;;;;
Otu0917;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster asparagiformis;Otu0917;;;;;;;;;;;;;;;;;;
Otu0918;Bacteria;Bacillota_A;Clostridia;Christensenellales;Pumilibacteraceae;Neoclostridium;Neoclostridium;Otu0918;;;;;;;;;;;;;;;;;;
Otu0920;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sp959599425;Otu0920;;;;;;;;;;;;;;;;;;
Otu0921;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter;Otu0921;;;;;;;;;;;;;;;;;;
Otu0922;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Oliverpabstia;Oliverpabstia intestinalis;Otu0922;;;;;;;;;;;;;;;;;;
Otu0924;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp900548245;Otu0924;;;;;;;;;;;;;;;;;;
Otu0927;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu0927;;;;;;;;;;;;;;;;;;
Otu0928;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia rectibacter;Otu0928;;;;;;;;;;;;;;;;;;
Otu0930;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0930;;;;;;;;;;;;;;;;;;
Otu0931;Bacteria;Bacillota_I;Bacilli_A;RF39;UBA660;UMGS1498;UMGS1498 sp934153945;Otu0931;;;;;;;;;;;;;;;;;;
Otu0933;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;Dysosmobacter;Otu0933;;;;;;;;;;;;;;;;;;
Otu0934;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0934;;;;;;;;;;;;;;;;;;
Otu0935;Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Paratractidigestivibacter;Paratractidigestivibacter faecalis;Otu0935;;;;;;;;;;;;;;;;;;
Otu0937;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospiraceae;Oscillospiraceae;Otu0937;;;;;;;;;;;;;;;;;;
Otu0938;Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;UBA71;UBA71 sp006954465;Otu0938;;;;;;;;;;;;;;;;;;
Otu0939;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii;Otu0939;;;;;;;;;;;;;;;;;;
Otu0940;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea_A;Dorea_A amylophila;Otu0940;;;;;;;;;;;;;;;;;;
Otu0942;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus;Otu0942;;;;;;;;;;;;;;;;;;
Otu0943;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;Vibrio;Otu0943;;;;;;;;;;;;;;;;;;
Otu0945;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0945;;;;;;;;;;;;;;;;;;
Otu0946;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus;Negativibacillus massiliensis;Otu0946;;;;;;;;;;;;;;;;;;
Otu0947;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospiraceae;Oscillospiraceae;Otu0947;;;;;;;;;;;;;;;;;;
Otu0948;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Gabonibacter;Gabonibacter massiliensis;Otu0948;;;;;;;;;;;;;;;;;;
Otu0950;Bacteria;Bacillota_A;Clostridia;Oscillospirales;UBA644;HGM12619;HGM12619 sp015067305;Otu0950;;;;;;;;;;;;;;;;;;
Otu0951;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0951;;;;;;;;;;;;;;;;;;
Otu0955;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_D;Otu0955;;;;;;;;;;;;;;;;;;
Otu0956;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira sp000437735;Otu0956;;;;;;;;;;;;;;;;;;
Otu0957;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans;Otu0957;;;;;;;;;;;;;;;;;;
Otu0958;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu0958;;;;;;;;;;;;;;;;;;
Otu0959;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A;Otu0959;;;;;;;;;;;;;;;;;;
Otu0960;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia inulinivorans;Otu0960;;;;;;;;;;;;;;;;;;
Otu0962;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Oliverpabstia;Oliverpabstia;Otu0962;;;;;;;;;;;;;;;;;;
Otu0964;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A difficilis;Otu0964;;;;;;;;;;;;;;;;;;
Otu0965;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635;Otu0965;;;;;;;;;;;;;;;;;;
Otu0966;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Otu0966;;;;;;;;;;;;;;;;;;
Otu0967;Bacteria;Bacillota_A;Clostridia;Oscillospirales;CAG-272;UMGS1865;UMGS1865 sp944391805;Otu0967;;;;;;;;;;;;;;;;;;
Otu0968;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0968;;;;;;;;;;;;;;;;;;
Otu0969;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella;Otu0969;;;;;;;;;;;;;;;;;;
Otu0970;Bacteria;Bacillota_A;Clostridia;Clostridia;Clostridia;Clostridia;Clostridia;Otu0970;;;;;;;;;;;;;;;;;;
Otu0971;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospirales;Oscillospirales;Oscillospirales;Otu0971;;;;;;;;;;;;;;;;;;
Otu0973;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Anaerotignaceae;Fimicola;Fimicola cottocaccae;Otu0973;;;;;;;;;;;;;;;;;;
Otu0976;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter;Otu0976;;;;;;;;;;;;;;;;;;
Otu0977;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp000431375;Otu0977;;;;;;;;;;;;;;;;;;
Otu0978;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis;Otu0978;;;;;;;;;;;;;;;;;;
Otu0979;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0979;;;;;;;;;;;;;;;;;;
Otu0980;Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;Gordonibacter pamelaeae;Otu0980;;;;;;;;;;;;;;;;;;
Otu0981;Bacteria;Bacillota_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Lentihominibacter;Lentihominibacter butyrica;Otu0981;;;;;;;;;;;;;;;;;;
Otu0982;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp934191715;Otu0982;;;;;;;;;;;;;;;;;;
Otu0983;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia inulinivorans;Otu0983;;;;;;;;;;;;;;;;;;
Otu0984;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter;Otu0984;;;;;;;;;;;;;;;;;;
Otu0985;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Hominiventricola;Hominiventricola filiformis;Otu0985;;;;;;;;;;;;;;;;;;
Otu0986;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_I;Otu0986;;;;;;;;;;;;;;;;;;
Otu0987;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp000431375;Otu0987;;;;;;;;;;;;;;;;;;
Otu0988;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0988;;;;;;;;;;;;;;;;;;
Otu0989;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu0989;;;;;;;;;;;;;;;;;;
Otu0991;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;JAFBIO01;JAFBIO01 sp021531255;Otu0991;;;;;;;;;;;;;;;;;;
Otu0993;Bacteria;Bacillota_A;Clostridia;Clostridia;Clostridia;Clostridia;Clostridia;Otu0993;;;;;;;;;;;;;;;;;;
Otu0994;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A wexlerae;Otu0994;;;;;;;;;;;;;;;;;;
Otu0995;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei;Otu0995;;;;;;;;;;;;;;;;;;
Otu0997;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcaceae;Ruminococcaceae;Otu0997;;;;;;;;;;;;;;;;;;
Otu0999;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Huintestinicola;Huintestinicola butyrica;Otu0999;;;;;;;;;;;;;;;;;;
Otu1000;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium;Otu1000;;;;;;;;;;;;;;;;;;
Otu1002;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu1002;;;;;;;;;;;;;;;;;;
Otu1003;Bacteria;Bacillota_I;Bacilli_A;RF39;UBA660;CAG-605;CAG-605;Otu1003;;;;;;;;;;;;;;;;;;
Otu1004;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA9414;UBA9414 sp003458885;Otu1004;;;;;;;;;;;;;;;;;;
Otu1005;Bacteria;Bacillota_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;Mogibacterium;Otu1005;;;;;;;;;;;;;;;;;;
Otu1006;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1006;;;;;;;;;;;;;;;;;;
Otu1007;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu1007;;;;;;;;;;;;;;;;;;
Otu1008;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp900552405;Otu1008;;;;;;;;;;;;;;;;;;
Otu1009;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A wexlerae;Otu1009;;;;;;;;;;;;;;;;;;
Otu1010;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus;Otu1010;;;;;;;;;;;;;;;;;;
Otu1012;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus;Negativibacillus massiliensis;Otu1012;;;;;;;;;;;;;;;;;;
Otu1013;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635;Otu1013;;;;;;;;;;;;;;;;;;
Otu1015;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis;Otu1015;;;;;;;;;;;;;;;;;;
Otu1016;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;Ruminococcus_C callidus;Otu1016;;;;;;;;;;;;;;;;;;
Otu1018;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A;Otu1018;;;;;;;;;;;;;;;;;;
Otu1019;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu1019;;;;;;;;;;;;;;;;;;
Otu1020;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter;Otu1020;;;;;;;;;;;;;;;;;;
Otu1021;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1021;;;;;;;;;;;;;;;;;;
Otu1024;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Pseudoscilispira;Pseudoscilispira;Otu1024;;;;;;;;;;;;;;;;;;
Otu1027;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu1027;;;;;;;;;;;;;;;;;;
Otu1029;Bacteria;Bacteria;Bacteria;Bacteria;Bacteria;Bacteria;Bacteria;Otu1029;;;;;;;;;;;;;;;;;;
Otu1032;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae;Otu1032;;;;;;;;;;;;;;;;;;
Otu1035;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris;Otu1035;;;;;;;;;;;;;;;;;;
Otu1037;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_AP;Clostridium_AP sp000509125;Otu1037;;;;;;;;;;;;;;;;;;
Otu1038;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus;Bariatricus;Otu1038;;;;;;;;;;;;;;;;;;
Otu1042;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacteraceae;Acutalibacteraceae;Otu1042;;;;;;;;;;;;;;;;;;
Otu1044;Bacteria;Bacillota_A;Clostridia;Oscillospirales;CAG-272;CAG-448;CAG-448 sp003150135;Otu1044;;;;;;;;;;;;;;;;;;
Otu1045;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerobutyricum;Anaerobutyricum soehngenii;Otu1045;;;;;;;;;;;;;;;;;;
Otu1046;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_G;Eubacterium_G segne;Otu1046;;;;;;;;;;;;;;;;;;
Otu1049;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Yeguia;Yeguia hominis;Otu1049;;;;;;;;;;;;;;;;;;
Otu1050;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1050;;;;;;;;;;;;;;;;;;
Otu1052;Bacteria;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis;Otu1052;;;;;;;;;;;;;;;;;;
Otu1055;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1055;;;;;;;;;;;;;;;;;;
Otu1056;Bacteria;Bacillota_I;Bacilli_A;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;Holdemanella sp900556915;Otu1056;;;;;;;;;;;;;;;;;;
Otu1057;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia;Otu1057;;;;;;;;;;;;;;;;;;
Otu1061;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii;Otu1061;;;;;;;;;;;;;;;;;;
Otu1063;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;Dysosmobacter sp900115635;Otu1063;;;;;;;;;;;;;;;;;;
Otu1064;Bacteria;Bacillota_I;Bacilli_A;Erysipelotrichales;Coprobacillaceae;Faecalibacillus;Faecalibacillus intestinalis;Otu1064;;;;;;;;;;;;;;;;;;
Otu1066;Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Avelusimicrobium;Avelusimicrobium sp002329395;Otu1066;;;;;;;;;;;;;;;;;;
Otu1067;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis;Otu1067;;;;;;;;;;;;;;;;;;
Otu1069;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1069;;;;;;;;;;;;;;;;;;
Otu1071;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira;Otu1071;;;;;;;;;;;;;;;;;;
Otu1072;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1072;;;;;;;;;;;;;;;;;;
Otu1075;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira;Otu1075;;;;;;;;;;;;;;;;;;
Otu1077;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira;Otu1077;;;;;;;;;;;;;;;;;;
Otu1078;Bacteria;Bacillota_A;Clostridia;Oscillospirales;CAG-272;Firm-07;Firm-07 sp905187695;Otu1078;;;;;;;;;;;;;;;;;;
Otu1079;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor intestinalis;Otu1079;;;;;;;;;;;;;;;;;;
Otu1080;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio_A;Butyrivibrio_A crossotus;Otu1080;;;;;;;;;;;;;;;;;;
Otu1081;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1081;;;;;;;;;;;;;;;;;;
Otu1082;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1082;;;;;;;;;;;;;;;;;;
Otu1083;Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis;Otu1083;;;;;;;;;;;;;;;;;;
Otu1084;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis;Otu1084;;;;;;;;;;;;;;;;;;
Otu1085;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A;Otu1085;;;;;;;;;;;;;;;;;;
Otu1086;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium;Otu1086;;;;;;;;;;;;;;;;;;
Otu1087;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;Otu1087;;;;;;;;;;;;;;;;;;
Otu1088;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_E;Otu1088;;;;;;;;;;;;;;;;;;
Otu1089;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003514385;Otu1089;;;;;;;;;;;;;;;;;;
